,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
209,LP002459,Male,Yes,0,Graduate,No,4301,0.0,118,360,1,Urban
210,LP002912,Male,Yes,1,Graduate,No,4283,3000.0,172,84,1,Rural
211,LP002602,Male,No,0,Graduate,No,6283,4416.0,209,360,0,Rural
212,LP001674,Male,Yes,1,Not Graduate,No,2600,2500.0,90,360,1,Semiurban
213,LP002035,Male,Yes,2,Graduate,No,3717,0.0,120,360,1,Semiurban
214,LP002187,Male,No,0,Graduate,No,2500,0.0,96,480,1,Semiurban
215,LP002785,Male,Yes,1,Graduate,No,3333,3250.0,158,360,1,Urban
216,LP001926,Male,Yes,0,Graduate,No,3704,2000.0,120,360,1,Rural
217,LP002640,Male,Yes,1,Graduate,No,6065,2004.0,250,360,1,Semiurban
218,LP001006,Male,Yes,0,Not Graduate,No,2583,2358.0,120,360,1,Urban
219,LP001151,Female,No,0,Graduate,No,4000,2275.0,144,360,1,Semiurban
220,LP001116,Male,No,0,Not Graduate,No,3748,1668.0,110,360,1,Semiurban
221,LP001013,Male,Yes,0,Not Graduate,No,2333,1516.0,95,360,1,Urban
222,LP002224,Male,No,0,Graduate,No,3069,0.0,71,480,1,Urban
223,LP002175,Male,Yes,0,Graduate,No,4750,2333.0,130,360,1,Urban
224,LP001131,Male,Yes,0,Graduate,No,3941,2336.0,134,360,1,Semiurban
225,LP001528,Male,No,0,Graduate,No,6277,0.0,118,360,0,Rural
226,LP001677,Male,No,2,Graduate,No,4923,0.0,166,360,0,Semiurban
227,LP002418,Male,No,3+,Not Graduate,No,4707,1993.0,148,360,1,Semiurban
228,LP002368,Male,Yes,2,Graduate,No,5935,0.0,133,360,1,Semiurban
229,LP002720,Male,Yes,3+,Graduate,No,4281,0.0,100,360,1,Urban
230,LP002767,Male,Yes,0,Graduate,No,2768,1950.0,155,360,1,Rural
231,LP001322,Male,No,0,Graduate,No,4133,0.0,122,360,1,Semiurban
232,LP002097,Male,No,1,Graduate,No,4384,1793.0,117,360,1,Urban
233,LP002234,Male,No,0,Graduate,Yes,7167,0.0,128,360,1,Urban
234,LP001639,Female,Yes,0,Graduate,No,3625,0.0,108,360,1,Semiurban
235,LP001186,Female,Yes,1,Graduate,Yes,11500,0.0,286,360,0,Urban
236,LP001028,Male,Yes,2,Graduate,No,3073,8106.0,200,360,1,Urban
237,LP001765,Male,Yes,1,Graduate,No,2491,2054.0,104,360,1,Semiurban
238,LP001018,Male,Yes,2,Graduate,No,4006,1526.0,168,360,1,Urban
239,LP001875,Male,No,0,Graduate,No,4095,3447.0,151,360,1,Rural
240,LP001656,Male,No,0,Graduate,No,12000,0.0,164,360,1,Semiurban
241,LP002361,Male,Yes,0,Graduate,No,1820,1719.0,100,360,1,Urban
242,LP002467,Male,Yes,0,Graduate,No,3708,2569.0,173,360,1,Urban
243,LP002328,Male,Yes,0,Not Graduate,No,6096,0.0,218,360,0,Rural
244,LP002211,Male,Yes,0,Graduate,No,4817,923.0,120,180,1,Urban
245,LP002524,Male,No,2,Graduate,No,5532,4648.0,162,360,1,Rural
246,LP002832,Male,Yes,2,Graduate,No,8799,0.0,258,360,0,Urban
247,LP002841,Male,Yes,0,Graduate,No,3166,2064.0,104,360,0,Urban
248,LP001478,Male,No,0,Graduate,No,2718,0.0,70,360,1,Semiurban
249,LP001894,Male,Yes,0,Graduate,No,2620,2223.0,150,360,1,Semiurban
250,LP002894,Female,Yes,0,Graduate,No,3166,0.0,36,360,1,Semiurban
251,LP002284,Male,No,0,Not Graduate,No,3902,1666.0,109,360,1,Rural
252,LP002305,Female,No,0,Graduate,No,4547,0.0,115,360,1,Semiurban
253,LP001343,Male,Yes,0,Graduate,No,1759,3541.0,131,360,1,Semiurban
254,LP001936,Male,Yes,0,Graduate,No,3075,2416.0,139,360,1,Rural
255,LP002788,Male,Yes,0,Not Graduate,No,2454,2333.0,181,360,0,Urban
256,LP001535,Male,No,0,Graduate,No,3254,0.0,50,360,1,Urban
257,LP002892,Male,Yes,2,Graduate,No,6540,0.0,205,360,1,Semiurban
258,LP001636,Male,Yes,0,Graduate,No,4600,0.0,73,180,1,Semiurban
259,LP001038,Male,Yes,0,Not Graduate,No,4887,0.0,133,360,1,Rural
260,LP001572,Male,Yes,0,Graduate,No,9323,0.0,75,180,1,Urban
261,LP001385,Male,No,0,Graduate,No,5316,0.0,136,360,1,Urban
262,LP001726,Male,Yes,0,Graduate,No,3727,1775.0,131,360,1,Semiurban
263,LP002308,Male,Yes,0,Not Graduate,No,2167,2400.0,115,360,1,Urban
264,LP002449,Male,Yes,0,Graduate,No,2483,2466.0,90,180,0,Rural
265,LP001112,Female,Yes,0,Graduate,No,3667,1459.0,144,360,1,Semiurban
266,LP002142,Female,Yes,0,Graduate,Yes,5500,0.0,105,360,0,Rural
267,LP001953,Male,Yes,1,Graduate,No,6875,0.0,200,360,1,Semiurban
268,LP001955,Female,No,0,Graduate,No,5000,2541.0,151,480,1,Rural
269,LP001658,Male,No,0,Graduate,No,3858,0.0,76,360,1,Semiurban
270,LP002652,Male,No,0,Graduate,No,5815,3666.0,311,360,1,Rural
271,LP001279,Male,No,0,Graduate,No,2366,2531.0,136,360,1,Semiurban
272,LP001917,Female,No,0,Graduate,No,1811,1666.0,54,360,1,Urban
273,LP002948,Male,Yes,2,Graduate,No,5780,0.0,192,360,1,Urban
274,LP001179,Male,Yes,2,Graduate,No,4616,0.0,134,360,1,Urban
275,LP002978,Female,No,0,Graduate,No,2900,0.0,71,360,1,Rural
276,LP002098,Male,No,0,Graduate,No,2935,0.0,98,360,1,Semiurban
277,LP001580,Male,Yes,2,Graduate,No,8000,0.0,200,360,1,Semiurban
278,LP002731,Female,No,0,Not Graduate,Yes,18165,0.0,125,360,1,Urban
279,LP002716,Male,No,0,Not Graduate,No,6783,0.0,130,360,1,Semiurban
280,LP001836,Female,No,2,Graduate,No,3427,0.0,138,360,1,Urban
281,LP001233,Male,Yes,1,Graduate,No,10750,0.0,312,360,1,Urban
282,LP001565,Male,Yes,1,Graduate,No,3089,1280.0,121,360,0,Semiurban
283,LP001024,Male,Yes,2,Graduate,No,3200,700.0,70,360,1,Urban
284,LP001334,Male,Yes,0,Not Graduate,No,4188,0.0,115,180,1,Semiurban
285,LP002231,Female,No,0,Graduate,No,6000,0.0,156,360,1,Urban
286,LP001120,Male,No,0,Graduate,No,1800,1213.0,47,360,1,Urban
287,LP002958,Male,No,0,Graduate,No,3676,4301.0,172,360,1,Rural
288,LP001325,Male,No,0,Not Graduate,No,3620,0.0,25,120,1,Semiurban
289,LP002600,Male,Yes,1,Graduate,Yes,2895,0.0,95,360,1,Semiurban
290,LP001691,Male,Yes,2,Not Graduate,No,3917,0.0,124,360,1,Semiurban
291,LP002448,Male,Yes,0,Graduate,No,3948,1733.0,149,360,0,Rural
292,LP001238,Male,Yes,3+,Not Graduate,Yes,7100,0.0,125,60,1,Urban
293,LP002555,Male,Yes,2,Graduate,Yes,4583,2083.0,160,360,1,Semiurban
294,LP002050,Male,Yes,1,Graduate,Yes,10000,0.0,155,360,1,Rural
295,LP002347,Male,Yes,0,Graduate,No,3246,1417.0,138,360,1,Semiurban
296,LP001711,Male,Yes,3+,Graduate,No,3430,1250.0,128,360,0,Semiurban
297,LP002116,Female,No,0,Graduate,No,2378,0.0,46,360,1,Rural
298,LP001225,Male,Yes,0,Graduate,No,5726,4595.0,258,360,1,Semiurban
299,LP001504,Male,No,0,Graduate,Yes,6950,0.0,175,180,1,Semiurban
300,LP001253,Male,Yes,3+,Graduate,Yes,5266,1774.0,187,360,1,Semiurban
301,LP002219,Male,Yes,3+,Graduate,No,8750,4996.0,130,360,1,Rural
302,LP002369,Male,Yes,0,Graduate,No,2920,16.12000084,87,360,1,Rural
303,LP001384,Male,Yes,3+,Not Graduate,No,2071,754.0,94,480,1,Semiurban
304,LP002739,Male,Yes,0,Not Graduate,No,2917,536.0,66,360,1,Rural
305,LP001778,Male,Yes,1,Graduate,No,3155,1779.0,140,360,1,Semiurban
306,LP001844,Male,No,0,Graduate,Yes,16250,0.0,192,360,0,Urban
307,LP001963,Male,Yes,1,Graduate,No,2014,2925.0,113,360,1,Urban
308,LP001938,Male,Yes,2,Graduate,No,4400,0.0,127,360,0,Semiurban
309,LP001843,Male,Yes,1,Not Graduate,No,2661,7101.0,279,180,1,Semiurban
310,LP002776,Female,No,0,Graduate,No,5000,0.0,103,360,0,Semiurban
311,LP002855,Male,Yes,2,Graduate,No,16666,0.0,275,360,1,Urban
312,LP002161,Female,No,1,Graduate,No,4723,0.0,81,360,1,Semiurban
313,LP002364,Male,Yes,0,Graduate,No,14880,0.0,96,360,1,Semiurban
314,LP002705,Male,Yes,0,Graduate,No,3775,0.0,110,360,1,Semiurban
315,LP001813,Male,No,0,Graduate,Yes,6050,4333.0,120,180,1,Urban
316,LP001086,Male,No,0,Not Graduate,No,1442,0.0,35,360,1,Urban
317,LP001914,Male,Yes,0,Graduate,No,3927,800.0,112,360,1,Semiurban
318,LP001520,Male,Yes,0,Graduate,No,4860,830.0,125,360,1,Semiurban
319,LP001664,Male,No,0,Graduate,No,4191,0.0,120,360,1,Rural
320,LP001751,Male,Yes,0,Graduate,No,3250,0.0,170,360,1,Rural
321,LP001806,Male,No,0,Graduate,No,2965,5701.0,155,60,1,Urban
322,LP001319,Male,Yes,2,Not Graduate,No,3273,1820.0,81,360,1,Urban
323,LP001900,Male,Yes,1,Graduate,No,2750,1842.0,115,360,1,Semiurban
324,LP001977,Male,Yes,1,Graduate,No,1625,1803.0,96,360,1,Urban
325,LP001641,Male,Yes,1,Graduate,Yes,2178,0.0,66,300,0,Rural
326,LP001222,Female,No,0,Graduate,No,4166,0.0,116,360,0,Semiurban
327,LP002068,Male,No,0,Graduate,No,4917,0.0,130,360,0,Rural
328,LP001451,Male,Yes,1,Graduate,Yes,10513,3850.0,160,180,0,Urban
329,LP001482,Male,Yes,0,Graduate,Yes,3459,0.0,25,120,1,Semiurban
330,LP001872,Male,No,0,Graduate,Yes,5166,0.0,128,360,1,Semiurban
331,LP002529,Male,Yes,2,Graduate,No,6700,1750.0,230,300,1,Semiurban
332,LP002527,Male,Yes,2,Graduate,Yes,16525,1014.0,150,360,1,Rural
333,LP001008,Male,No,0,Graduate,No,6000,0.0,141,360,1,Urban
